I_mean,I_variance,I_stdDev,Q_mean,Q_variance,Q_stdDev,label
-0.0314979,0.997417,0.998708,0.0108463,0.00694509,0.0833372,0
0.31697,0.958154,0.978853,-0.0218056,0.00748222,0.0864998,0
0.0693968,1.05409,1.02669,0.036849,0.0115269,0.107364,0
0.0836958,1.01873,1.00932,0.0119912,0.0107725,0.103791,0
-0.213526,0.919604,0.95896,0.00994973,0.00838372,0.0915627,0
0.307134,0.903103,0.950317,-0.0407051,0.00624532,0.0790273,0
-0.326406,0.98494,0.992442,-0.0093299,0.0118468,0.108843,0
0.342459,0.938864,0.96895,-0.0079939,0.0087792,0.0936974,0
-0.189499,0.89226,0.944595,-0.00656499,0.00674425,0.0821234,0
0.284935,0.933194,0.96602,-0.0201401,0.00638592,0.0799119,0
-0.205314,1.02091,1.0104,0.0218414,0.00894742,0.0945908,0
0.0231253,0.987767,0.993865,-0.000831644,0.00992374,0.099618,0
0.215836,0.845435,0.919475,0.000291329,0.0083617,0.0914423,0
0.0907277,1.00813,1.00406,0.0398287,0.00495726,0.0704078,0
0.192816,0.979901,0.989899,0.0660197,0.0064596,0.0803716,0
0.430162,0.795982,0.892178,-0.0186648,0.0121117,0.110053,0
-0.520079,0.799206,0.893983,-0.0161927,0.0118891,0.109037,0
0.0190067,1.00995,1.00496,0.00425942,0.0134061,0.115785,0
-0.207813,1.07668,1.03763,0.0165879,0.00587777,0.0766666,0
0.0743979,0.888096,0.942389,-0.00104485,0.0123846,0.111286,0
0.177726,0.936843,0.967907,-0.0197494,0.0133977,0.115748,0
-0.450071,0.845088,0.919287,0.0146123,0.00968805,0.0984279,0
-0.0651693,0.959421,0.9795,-0.0167113,0.00787886,0.088763,0
-0.179045,1.03775,1.0187,0.0147673,0.0136807,0.116964,0
0.0834905,0.938681,0.968855,0.00950753,0.00737996,0.0859067,0
0.180172,0.957866,0.978706,0.0237314,0.00587956,0.0766783,0
-0.182256,0.876852,0.936404,0.0194526,0.0148272,0.121767,0
0.0450285,0.917288,0.957752,0.0219509,0.00858597,0.0926605,0
0.034398,1.05957,1.02935,-0.028085,0.0096006,0.0979827,0
-0.381102,0.857771,0.92616,0.0198935,0.00536667,0.0732576,0
0.188432,0.994918,0.997456,0.0229737,0.00413242,0.0642839,0
-0.188159,1.01425,1.0071,-0.000960204,0.00891461,0.0944172,0
-0.17682,0.972651,0.986231,-0.0103167,0.0084224,0.0917736,0
0.0843434,0.956691,0.978106,-0.00148542,0.0180984,0.13453,0
0.350147,0.868338,0.931847,-0.0360096,0.00960046,0.0979819,0
0.250934,0.987525,0.993743,-0.0018231,0.00530273,0.0728199,0
0.11486,1.02431,1.01208,-0.00612881,0.00380535,0.0616875,0
-0.0832688,1.05616,1.02769,0.01163,0.00368847,0.0607328,0
0.321869,0.966475,0.983095,-0.0305777,0.00408659,0.0639265,0
0.180188,0.902992,0.950259,-0.0225667,0.013622,0.116713,0
-0.0580752,1.05456,1.02692,-0.000356834,0.00531333,0.0728926,0
-0.189987,1.00016,1.00008,0.0155384,0.00494023,0.0702868,0
-0.15673,1.05227,1.0258,0.0295982,0.00659701,0.081222,0
