I_mean,I_variance,I_stdDev,Q_mean,Q_variance,Q_stdDev,label
-0.00631503,1.00944,1.00471,0.0321464,0.00991674,0.0995828,0
0.134068,1.03068,1.01522,-0.0241675,0.00860383,0.0927568,0
0.0270983,1.00545,1.00272,-0.0185878,0.00609057,0.0780421,0
0.0245254,1.02085,1.01037,-0.0157404,0.00719974,0.0848513,0
0.0135294,1.03688,1.01827,-0.00744789,0.00613051,0.0782976,0
0.00192591,0.957068,0.978299,-0.00644888,0.00991616,0.0995799,0
0.0864462,1.03956,1.01959,-0.0135135,0.0154212,0.124182,0
0.0944995,0.934843,0.966873,0.0190817,0.00637729,0.0798579,0
0.0628335,1.04128,1.02043,0.0123618,0.00926323,0.0962457,0
0.0416384,0.997118,0.998558,0.0114624,0.00792127,0.0890015,0
0.0283288,1.08411,1.04121,-0.00956054,0.0106842,0.103365,0
0.0421145,1.0058,1.0029,0.056274,0.00767634,0.0876147,0
0.0880296,1.04227,1.02092,-0.00864562,0.0185296,0.136124,0
0.0761561,0.965841,0.982772,0.00115667,0.0110122,0.104939,0
0.019558,1.04696,1.02321,-0.00143703,0.00557316,0.0746536,0
0.0283604,1.02303,1.01145,0.0232074,0.0119563,0.109345,0
0.0385314,0.977819,0.988847,-0.0203467,0.00959262,0.0979419,0
0.0801835,0.937102,0.96804,-0.0148587,0.00453279,0.067326,0
0.0839725,1.10801,1.05262,-0.0344962,0.00803111,0.0896165,0
0.0397319,0.972212,0.986008,-0.0411405,0.00623665,0.0789725,0
0.069083,0.996264,0.99813,0.0146784,0.00724686,0.0851285,0
0.064569,1.01963,1.00977,0.0388489,0.0085084,0.092241,0
0.0601094,1.00605,1.00302,-0.00764497,0.0104285,0.10212,0
0.056083,0.978947,0.989417,-0.0428558,0.0069948,0.0836349,0
0.0432361,0.970861,0.985323,-0.0174075,0.00529748,0.0727838,0
0.053857,1.00972,1.00485,-0.0435331,0.00650653,0.080663,0
0.0757623,1.04737,1.02341,-0.00928708,0.0109526,0.104654,0
0.0805336,0.99841,0.999205,-0.0189563,0.00773435,0.0879452,0
0.109032,1.00655,1.00327,-0.0358887,0.0037535,0.0612658,0
0.0733369,0.961265,0.980441,-0.00719122,0.00998191,0.0999095,0
0.0721802,0.953186,0.976312,0.033486,0.0129821,0.113939,0
0.0784298,1.03599,1.01784,0.00385179,0.00503288,0.0709428,0
0.056228,1.0044,1.0022,-0.00701843,0.01048,0.102372,0
0.0197956,0.960675,0.98014,0.0138378,0.0108016,0.103931,0
0.0704983,1.0001,1.00005,0.00666462,0.0115358,0.107405,0
0.121072,1.00986,1.00492,0.0488026,0.00762649,0.0873298,0
0.0405805,1.01604,1.00799,0.00536368,0.00618079,0.078618,0
0.0774441,0.999048,0.999524,-0.0117194,0.00563952,0.0750967,0
0.0860775,0.909495,0.953675,-0.0293299,0.0120524,0.109783,0
0.0365244,0.978837,0.989362,-0.0301767,0.0146539,0.121053,0
0.080399,1.01937,1.00964,-0.0293783,0.010779,0.103822,0
0.092543,0.966402,0.983058,0.00560375,0.0103134,0.101555,0
0.0769911,1.08724,1.04271,-0.0118014,0.00887207,0.0941917,0
0.0516619,1.01319,1.00657,0.014384,0.0104762,0.102353,0
0.0227259,0.885443,0.94098,-0.0460221,0.00887212,0.0941919,0
0.0492488,1.00854,1.00426,0.0172868,0.0108159,0.103999,0
0.0421703,0.920651,0.959506,0.0127032,0.0147366,0.121395,0
0.0396545,0.949584,0.974466,0.032632,0.00593126,0.0770147,0
0.0697894,0.998798,0.999399,0.0162525,0.00478962,0.0692071,0
0.062372,0.971669,0.985733,-0.00599295,0.0232428,0.152456,0
0.086926,0.91647,0.957324,0.0168054,0.0112731,0.106175,0
0.0367179,1.02405,1.01195,-0.00772229,0.0063176,0.0794834,0
0.0525838,1.01563,1.00779,0.00501641,0.00630582,0.0794092,0
0.0284635,1.00633,1.00316,-0.00937152,0.00942725,0.097094,0
0.0977572,0.914117,0.956094,-0.0174063,0.0121413,0.110188,0
0.0497362,1.03364,1.01668,-0.00658992,0.0052576,0.0725093,0
0.0624113,0.99659,0.998294,0.0098421,0.0156765,0.125206,0
0.0449386,0.985224,0.992585,0.00514378,0.0041757,0.0646197,0
0.0874415,1.03761,1.01863,-0.00193408,0.0119179,0.109169,0
0.0525064,1.01135,1.00566,0.0566995,0.00565914,0.0752273,0
0.0868664,0.966224,0.982967,-0.0358932,0.0104448,0.1022,0
0.0677296,1.07745,1.038,-0.00373198,0.0146105,0.120874,0
0.0177361,0.925943,0.96226,-0.0140463,0.0134938,0.116163,0
0.0923106,1.0057,1.00284,0.00356226,0.00878569,0.093732,0
0.074092,1.05773,1.02846,-0.0336144,0.00978983,0.0989436,0
0.0552406,0.925622,0.962093,-0.0207739,0.00634163,0.0796344,0
0.055005,1.0156,1.00777,-0.0165686,0.010947,0.104628,0
0.0760163,1.02847,1.01414,0.00123483,0.00797725,0.0893154,0
0.111598,1.02363,1.01175,-0.0160404,0.010641,0.103155,0
0.119439,1.1037,1.05057,-0.0364526,0.00556365,0.0745899,0
0.032809,0.972418,0.986113,-0.0347455,0.00984437,0.0992188,0
0.0662877,0.943537,0.971358,0.0183893,0.00880158,0.0938167,0
0.0739352,0.995589,0.997792,0.0135386,0.00868733,0.0932058,0
0.0784717,0.982326,0.991123,-0.00512441,0.015003,0.122487,0
0.0858048,0.980473,0.990188,0.00310189,0.00926052,0.0962316,0
0.0676219,0.972579,0.986194,-0.0367783,0.00562255,0.0749836,0
0.0942019,1.01786,1.00889,-0.0213384,0.0120938,0.109972,0
0.0762974,1.05064,1.02501,-0.0148841,0.00725009,0.0851475,0
0.0367053,1.08061,1.03953,0.0133294,0.00617827,0.078602,0
0.0397537,1.07055,1.03467,0.0218832,0.0110219,0.104985,0
0.100364,1.04985,1.02462,0.00301002,0.0112274,0.105959,0
0.0873251,1.06313,1.03108,-0.0282093,0.00437428,0.0661383,0
0.0329489,0.98666,0.993307,0.0313984,0.0156981,0.125292,0
0.0645774,1.04268,1.02112,-0.0566415,0.0169268,0.130103,0
0.0475568,1.01159,1.00578,0.0152064,0.00506887,0.071196,0
0.089042,0.986715,0.993336,0.0345894,0.0072336,0.0850506,0
0.0905198,1.05333,1.02632,-0.00776095,0.00908833,0.0953327,0
0.0368833,1.09731,1.04753,-0.032119,0.0092749,0.0963063,0
0.052219,0.987213,0.993586,-0.00199716,0.0079895,0.089384,0
0.0696641,0.946041,0.972646,-0.0160802,0.00842793,0.0918037,0
0.0523476,1.0418,1.02069,-0.0318091,0.00409876,0.0640216,0
0.0804551,1.03365,1.01668,0.0459596,0.00891559,0.0944224,0
0.0711253,0.93046,0.964603,0.0270143,0.0063284,0.0795512,0
0.0361693,1.05238,1.02586,0.0723923,0.00650024,0.0806241,0
0.0704245,1.03453,1.01712,-0.00407246,0.0068081,0.0825112,0
0.0144625,1.02356,1.01171,-0.0111463,0.0108063,0.103954,0
0.0790824,0.927287,0.962957,0.0461439,0.00342489,0.0585226,0
0.0139126,0.985381,0.992664,-0.0219705,0.0060708,0.0779154,0
0.0536875,0.947245,0.973265,-0.0417463,0.00554956,0.0744954,0
0.0737878,0.986438,0.993196,-0.0277778,0.00885608,0.0941067,0
0.0875932,0.878868,0.93748,0.00371834,0.00654401,0.0808951,0
0.0855429,1.03752,1.01859,0.015665,0.00846156,0.0919867,0
0.0602916,1.00794,1.00396,-0.0314177,0.00365685,0.0604719,0
-0.00501947,1.01735,1.00864,-0.0173834,0.012496,0.111786,0
0.0314027,1.05977,1.02945,0.00387769,0.00743195,0.0862088,0
0.091104,1.08411,1.0412,-0.027964,0.0120652,0.109842,0
0.101221,1.08164,1.04002,0.00390352,0.00928077,0.0963368,0
0.0705564,0.954382,0.976925,0.01778,0.0130987,0.114449,0
0.102572,0.986688,0.993322,-0.0244002,0.00734803,0.0857207,0
0.0880429,0.976629,0.988245,0.0521588,0.00762522,0.0873225,0
0.0510766,1.04464,1.02208,-0.017276,0.00708413,0.0841673,0
0.0985577,1.06089,1.02999,-0.0157051,0.0155279,0.124611,0
0.0625076,1.01607,1.008,0.0109719,0.0117988,0.108622,0
0.0504827,1.07761,1.03808,0.0067758,0.0140305,0.11845,0
0.0945561,0.955584,0.97754,0.0155217,0.00822341,0.090683,0
